Kommunnummer;Kommun;Befolkningsmängd
020;Akaa;16 611
005;Alajärvi;9 700
009;Alavieska;2 573
010;Alavus;11 544
016;Asikkala;8 149
018;Askola;4 958
019;Aura;3 984
604;Birkala;19 368
609;Björneborg;84 403
611;Borgnäs;5 068
638;Borgå;50 262
678;Brahestad;24 811
035;Brändö;449
218;Bötom;1 274
043;Eckerö;961
148;Enare;6 930
046;Enonkoski;1 405
047;Enontekis;1 852
049;Esbo;283 632
989;Etseri;5 703
050;Eura;11 748
051;Euraåminne;9 454
052;Evijärvi;2 473
060;Finström;2 588
061;Forssa;17 028
075;Fredrikshamn;20 286
062;Föglö;534
065;Geta;514
235;Grankulla;9 615
304;Gustavs;926
069;Haapajärvi;7 147
071;Haapavesi;6 854
074;Halsua;1 165
076;Hammarland;1 577
078;Hangö;8 379
077;Hankasalmi;4 939
079;Harjavalta;7 018
081;Hartola;2 780
082;Hattula;9 475
086;Hausjärvi;8 417
111;Heinola;18 889
090;Heinävesi;3 329
091;Helsingfors;648 042
097;Hirvensalmi;2 152
098;Hollola;23 602
099;Honkajoki;1 666
102;Huittinen;10 091
103;Humppila;2 235
105;Hyrynsalmi;2 287
106;Hyvinge;46 504
224;Högfors;8 778
140;Idensalmi;21 472
139;Ii;9 862
142;Iitti;6 765
143;Ikalis;7 003
145;Ilmajoki;12 187
146;Ilomants;4 973
153;Imatra;26 932
149;Ingå;5 403
598;Jakobstad;19 278
165;Janakkala;16 447
169;Jockis;5 195
167;Joensuu;76 551
170;Jomala;5 032
171;Jorois;4 812
172;Joutsa;4 467
176;Juuka;4 709
177;Juupajoki;1 884
178;Juva;6 225
179;Jyväskylä;141 305
181;Jämijärvi;1 809
182;Jämsä;20 607
204;Kaavi;2 990
205;Kajana;36 973
208;Kalajoki;12 387
211;Kangasala;31 676
213;Kangasniemi;5 452
214;Kankaanpää;11 471
216;Kannonkoski;1 353
217;Kannus;5 502
272;Karleby;47 657
072;Karlö;974
226;Karstula;4 031
230;Karvia;2 390
231;Kaskö;1 262
232;Kauhajoki;13 375
233;Kauhava;16 022
236;Kaustby;4 273
239;Keitele;2 244
240;Kemi;21 021
320;Kemijärvi;7 370
241;Keminmaa;8 147
244;Kempele;17 923
245;Kervo;36 254
249;Keuruu;9 762
250;Kihniö;1 910
322;Kimitoön;6 724
256;Kinnula;1 615
260;Kitee;10 358
261;Kittilä;6 436
263;Kiuruvesi;8 153
265;Kivijärvi;1 103
273;Kolari;3 834
275;Konnevesi;2 698
276;Kontiolahti;14 849
499;Korsholm;19 444
280;Korsnäs;2 122
284;Koski Tl;2 340
285;Kotka;52 883
286;Kouvola;83 177
287;Kristinestad;6 596
288;Kronoby;6 509
290;Kuhmo;8 329
291;Kuhmoinen;2 238
295;Kumlinge;315
271;Kumo;7 226
297;Kuopio;118 664
300;Kuortane;3 572
301;Kurikka;20 952
305;Kuusamo;15 207
257;Kyrkslätt;39 262
312;Kyyjärvi;1 343
316;Kärkölä;4 451
317;Kärsämäki;2 613
318;Kökar;236
398;Lahtis;119 951
399;Laihela;8 058
400;Laitila;8 647
402;Lapinlahti;9 617
403;Lappajärvi;3 078
408;Lappo;14 427
407;Lappträsk;2 665
440;Larsmo;5 340
410;Laukaa;18 927
416;Lemi;3 043
417;Lemland;2 033
418;Lempäälä;23 206
420;Leppävirta;9 650
421;Lestijärvi;737
422;Lieksa;11 098
425;Limingo;10 161
426;Liperi;12 145
430;Loimaa;16 032
444;Lojo;46 296
433;Loppi;7 861
434;Lovisa;14 891
435;Luhanka;707
436;Lumijoki;2 052
438;Lumparland;382
423;Lundo;19 831
441;Luumäki;4 662
475;Malax;5 477
478;Mariehamn;11 743
480;Marttila;2 018
481;Masku;9 554
483;Merijärvi;1 104
489;Miehikkälä;1 940
494;Muhos;8 980
495;Multia;1 584
498;Muonio;2 299
500;Muurame;10 170
503;Mynämäki;7 766
505;Mäntsälä;20 686
508;Mänttä-Vilppula;9 983
507;Mäntyharju;5 924
504;Mörskom;1 922
531;Nakkila;5 437
535;Nivala;10 737
536;Nokia;33 527
538;Nousis;4 733
541;Nurmes;7 641
543;Nurmijärvi;42 665
893;Nykarleby;7 455
740;Nyslott;33 611
895;Nystad;15 700
529;Nådendal;19 245
545;Närpes;9 471
560;Orimattila;16 091
561;Oripää;1 364
562;Orivesi;9 221
563;Oulainen;7 430
309;Outokumpu;6 803
576;Padasjoki;2 963
578;Paltamo;3 336
445;Pargas;15 217
580;Parikkala;4 842
581;Parkano;6 469
599;Pedersöre;11 016
583;Pelkosenniemi;954
854;Pello;3 438
577;Pemar;10 832
584;Perho;2 825
588;Pertunmaa;1 713
592;Petäjävesi;3 900
593;Pieksämäki;17 933
595;Pielavesi;4 498
601;Pihtipudas;4 053
607;Polvijärvi;4 307
614;Posio;3 237
615;Pudasjärvi;7 990
616;Pukkila;1 899
619;Punkalaidun;2 896
620;Puolanka;2 597
623;Puumala;2 197
625;Pyhäjoki;3 146
626;Pyhäjärvi;5 248
630;Pyhäntä;1 557
631;Pyhäranta;2 028
624;Pyttis;5 187
608;Påmark;2 146
635;Pälkäne;6 499
636;Pöytyä;8 333
681;Rantasalmi;3 514
683;Ranua;3 896
710;Raseborg;27 592
684;Raumo;39 360
686;Rautalampi;3 196
687;Rautavaara;1 651
689;Rautjärvi;3 335
691;Reisjärvi;2 743
680;Reso;24 178
694;Riihimäki;28 736
697;Ristijärvi;1 288
698;Rovaniemi;62 922
700;Ruokolahti;5 099
702;Ruovesi;4 398
704;Rusko;6 251
707;Rääkkylä;2 181
202;S:t Karins;33 458
491;S:t Michel;53 818
729;Saarijärvi;9 415
738;Sagu;2 994
732;Salla;3 491
734;Salo;52 321
736;Saltvik;1 858
790;Sastamala;24 651
484;Sastmola;3 115
739;Savitaipale;3 429
742;Savukoski;1 015
743;Seinäjoki;63 288
753;Sibbo;20 666
746;Sievi;4 980
747;Siikainen;1 458
748;Siikajoki;5 249
791;Siikalatva;5 301
749;Siilinjärvi;21 674
751;Simo;3 045
755;Sjundeå;6 134
758;Sodankylä;8 444
759;Soini;2 085
761;Somero;8 828
762;Sonkajärvi;3 967
765;Sotkamo;10 389
766;Sottunga;91
152;Storkyro;4 601
151;Storå;1 976
768;Sulkava;2 530
771;Sund;1 028
777;Suomussalmi;7 862
778;Suonenjoki;7 145
781;Sysmä;3 753
783;Säkylä;6 811
831;Taipalsaari;4 715
832;Taivalkoski;4 024
834;Tammela;6 081
837;Tammerfors;235 239
109;Tavastehus;67 532
108;Tavastkyro;10 510
844;Tervo;1 567
845;Tervola;3 062
848;Tohmajärvi;4 482
849;Toholampi;3 112
850;Toivakka;2 406
851;Torneå;21 875
186;Träskända;43 410
858;Tusby;38 664
857;Tuusniemi;2 551
859;Tyrnävä;6 758
833;Tövsala;1 662
564;Uleåborg;203 567
886;Ulvsby;13 021
887;Urjala;4 792
889;Utajärvi;2 702
890;Utsjoki;1 232
892;Uurainen;3 783
785;Vaala;2 869
908;Valkeakoski;21 137
911;Valtimo;2 143
092;Vanda;228 166
915;Varkaus;20 829
905;Vasa;67 552
918;Vehmaa;2 285
921;Vesanto;2 058
922;Vesilahti;4 393
924;Vetil;3 166
927;Vichtis;29 211
925;Vieremä;3 676
931;Viitasaari;6 264
405;Villmanstrand;72 699
934;Vimpeli;2 901
936;Virdois;6 739
935;Virolahti;3 150
941;Vårdö;448
946;Vörå;6 613
977;Ylivieska;15 212
980;Ylöjärvi;32 983
981;Ypäjä;2 357
853;Åbo;191 331
992;Äänekoski;18 851
846;Östermark;5 158
976;Övertorneå;4 022
